"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"Berne Union Local SD, Fairfield","46854.0","46.0","17.97","826.84","863.18","0.0012","0.0023","0.007","0.0012","0.0093","0.9561","0.023","0.55","0.0","0.1728","53304.33","0.4286","0.1905","0.381","7.0","76082.29","114.91","165558.0","0.6531","0.0631","0.2838","0.3469","165.56","4771.81","314.14","149768.33","378.0","33652.0","50783.0","45.88","21.97","22.97","5.2","2325.84","1.6895","1805.45","3330.8","6497.82","429.66","182.03","12245.76","5285.01","0.3914","6171.88","0.457","1305.28","0.0967","742.14","0.055","13504.32","5633.66","1.9558","0.5077","0.238","0.2042","0.0345","0.0156"
"Bethel Local SD, Miami","48611.0","34.0","38.43","1306.64","1234.82","0.0049","0.0014","0.0044","0.0","0.0205","0.9274","0.0415","0.1883","0.0376","0.0776","53138.06","0.2159","0.2273","0.5568","9.2","68609.54","137.26","119304.56","0.8562","0.1187","0.0251","0.1438","119.3","3322.61","592.85","134926.84","303.0","45249.0","69603.0","52.63","27.12","27.85","4.5","1032.03","0.7605","1310.89","1846.08","5279.14","293.59","214.64","8944.33","3950.57","0.4062","4603.89","0.4734","811.64","0.0835","358.47","0.0369","9724.57","2419.84","0.6828","0.4841","0.1734","0.2909","0.0406","0.011"
"Bethel-Tate Local SD, Clermont","46318.0","48.0","33.83","1624.03","1552.15","0.0026","0.0003","0.006","0.0","0.0199","0.9547","0.0165","0.3969","0.0","0.1599","52034.74","0.2569","0.1284","0.6147","10.7","83484.77","144.53","102670.52","0.9017","0.0649","0.0334","0.0983","102.67","3216.14","351.34","102301.46","136.0","32863.0","50289.0","45.75","30.54","34.79","3.7","0.0","0.8299","1069.93","1674.67","5148.93","343.22","175.9","8412.66","6777.05","0.6198","2368.48","0.2166","1219.14","0.1115","570.27","0.0522","10934.94","6311.51","2.4503","0.5094","0.1972","0.2571","0.0268","0.0095"
"Bexley City SD, Franklin","43620.0","2.0","1204.76","2409.51","2343.96","0.0241","0.0","0.0583","0.0004","0.0263","0.8334","0.0574","0.0849","0.0053","0.1085","75008.56","0.2154","0.2615","0.5231","17.3","92413.34","139.28","206924.53","0.9513","0.0385","0.0102","0.0487","206.92","9452.12","1270.56","230320.87","558.0","63135.0","173331.0","107.9","44.06","69.21","5.7","3325.81","0.7549","1990.15","2116.15","8545.95","833.33","697.81","14183.38","2958.22","0.1817","12313.89","0.7563","624.95","0.0384","385.15","0.0237","16282.21","1313.19","0.1205","0.538","0.2306","0.177","0.0377","0.0166"
"Big Walnut Local SD, Delaware","46748.0","109.0","31.77","3463.27","3463.89","0.0094","0.0008","0.0089","0.0019","0.0249","0.9308","0.0233","0.1555","0.0056","0.0982","60185.94","0.2454","0.2917","0.463","20.0","85903.4","169.78","247735.4","0.7783","0.0677","0.1541","0.2217","247.74","7146.7","747.31","224221.13","547.0","49716.0","91717.0","35.91","27.41","29.31","4.6","1810.78","0.9301","1511.35","1969.58","6310.0","530.37","376.77","10698.06","2602.93","0.2236","7846.08","0.6741","786.68","0.0676","404.49","0.0347","11640.18","1360.99","0.21","0.5581","0.2554","0.147","0.0262","0.0133"
"Black River Local SD, Medina","48462.0","114.0","11.44","1304.25","1160.36","0.0034","0.0","0.0075","0.0","0.0184","0.9637","0.007","0.3508","0.0009","0.1649","54793.53","0.2326","0.0814","0.686","11.4","56911.84","109.69","161179.5","0.8765","0.0395","0.0841","0.1235","161.18","5268.12","610.37","152671.79","392.0","35577.0","50263.0","55.05","30.58","31.78","3.6","0.0","1.1461","1646.97","2144.64","6667.72","408.03","220.18","11087.56","6906.53","0.5134","4797.56","0.3566","992.14","0.0738","755.76","0.0562","13451.98","4635.44","1.4399","0.4959","0.2216","0.2275","0.0409","0.0141"
"Blanchester Local SD, Clinton","46383.0","70.0","21.72","1520.64","1592.42","0.0018","0.0011","0.0042","0.0017","0.011","0.9621","0.0181","0.4395","0.0006","0.1837","49811.52","0.2804","0.2056","0.514","17.2","69800.98","85.32","102219.22","0.8468","0.0957","0.0575","0.1532","102.22","2365.53","304.92","88280.52","86.0","32607.0","46704.0","33.3","22.15","25.85","4.1","0.0","0.7913","1311.27","1974.03","6040.73","336.59","359.63","10022.26","7343.32","0.6558","1831.73","0.1636","1327.92","0.1186","693.84","0.062","11196.81","7753.85","3.4744","0.5208","0.2788","0.1572","0.0297","0.0135"
"Bloom Carroll Local SD, Fairfield","46862.0","54.0","35.86","1936.42","1940.71","0.0049","0.0","0.0115","0.0005","0.0073","0.9595","0.0163","0.1808","0.0015","0.0946","56547.75","0.1791","0.2015","0.6194","11.2","91202.59","169.52","186527.47","0.8202","0.0657","0.1142","0.1798","186.53","4613.63","503.38","184938.55","491.0","47636.0","72599.0","44.3","22.0","24.87","5.1","2368.41","0.9883","1639.42","1968.51","5017.49","479.44","425.66","9530.51","2964.63","0.2767","6273.68","0.5855","1119.04","0.1044","358.27","0.0334","10715.63","2650.32","0.5948","0.5328","0.1846","0.1923","0.0575","0.0329"
"Bloom-Vernon Local SD, Scioto","49593.0","84.0","10.5","882.21","860.61","0.0019","0.0","0.0018","0.0","0.0023","0.9888","0.0051","0.5571","0.0019","0.1202","50926.4","0.2571","0.2143","0.5286","7.2","75091.26","115.45","89311.28","0.6891","0.0221","0.2889","0.3109","89.31","2034.04","239.54","76974.33","58.0","33051.0","46397.0","24.67","22.0","22.16","3.4","0.0","0.6459","1252.6","2494.52","5839.43","419.62","430.25","10436.45","10524.99","0.702","1540.14","0.1027","1759.06","0.1173","1168.32","0.0779","14992.51","9563.09","5.4823","0.4771","0.2025","0.2694","0.0401","0.0109"
"Bloomfield-Mespo Local SD, Trumbull","50096.0","51.0","5.01","255.44","245.65","0.0","0.0","0.0107","0.0","0.0","0.944","0.0453","0.5615","0.1519","0.1726","40306.33","0.4474","0.2368","0.3158","5.0","57468.8","50.57","231162.15","0.9267","0.0326","0.0407","0.0733","231.16","6173.89","717.98","191063.73","501.0","17472.0","40954.0","53.95","25.15","37.06","4.7","0.0","1.9856","2579.32","3167.26","7874.91","570.84","490.21","14682.77","7336.24","0.4201","5236.5","0.2999","1092.33","0.0626","3797.66","0.2175","17462.73","5240.11","1.9197","0.4857","0.1978","0.2413","0.0543","0.021"
"Bluffton Ex Vill SD, Allen","45211.0","53.0","19.87","1053.04","1121.99","0.0106","0.0007","0.0065","0.0027","0.0205","0.9267","0.0324","0.1999","0.0018","0.0869","53764.81","0.1618","0.0441","0.7941","5.0","85278.6","204.92","145181.33","0.7894","0.1313","0.0794","0.2106","145.18","3952.97","437.74","129207.23","265.0","39911.0","61357.0","39.5","25.99","27.27","4.6","0.0","0.6873","1042.27","2080.0","5283.38","366.48","138.08","8910.24","4781.28","0.4891","3089.15","0.316","1458.3","0.1492","446.32","0.0457","9775.06","4867.28","1.3468","0.5802","0.1987","0.1704","0.0336","0.017"
"Boardman Local SD, Mahoning","48306.0","25.0","179.8","4495.1","4123.48","0.0319","0.0002","0.0909","0.0021","0.0674","0.749","0.0584","0.3673","0.0169","0.1477","56189.36","0.2234","0.2027","0.5739","29.2","68135.77","152.4","188838.55","0.5864","0.3652","0.0484","0.4136","188.84","7768.29","780.15","182604.58","480.0","32676.0","54970.0","58.65","39.96","40.71","5.25","0.0","0.8999","1210.65","1991.05","6414.39","433.36","218.69","10268.16","3282.56","0.2877","6989.5","0.6127","433.71","0.038","702.77","0.0616","11408.54","1042.17","0.22","0.5647","0.239","0.1585","0.0234","0.0144"
"Botkins Local SD, Shelby","49767.0","32.0","12.43","397.89","637.29","0.0047","0.0","0.0016","0.0","0.0206","0.9522","0.0209","0.2004","0.0066","0.0886","56930.89","0.1915","0.1489","0.6596","8.1","61960.0","48.01","162593.0","0.8432","0.108","0.0488","0.1568","162.59","3720.0","554.16","90587.35","93.0","39373.0","56586.0","29.52","22.21","25.13","5.3","1755.42","1.2103","1195.67","1575.04","5830.07","505.68","512.29","9618.68","4521.65","0.3921","2954.22","0.2562","3699.14","0.3208","355.74","0.0309","11530.74","10660.78","3.2654","0.5707","0.2377","0.1432","0.0345","0.0138"
"Bowling Green City SD, Wood","43638.0","118.0","26.33","3107.28","2888.32","0.0164","0.0","0.0278","0.001","0.1087","0.7818","0.0643","0.4347","0.0169","0.155","55766.68","0.3695","0.1773","0.4532","20.3","82986.73","146.21","203758.13","0.6857","0.3003","0.014","0.3143","203.76","6130.55","567.93","200149.63","518.0","28967.0","50713.0","55.95","27.31","35.22","4.0","1096.14","1.2097","1221.69","1795.1","6548.7","575.19","411.08","10551.76","3805.62","0.3184","6842.07","0.5725","609.58","0.051","694.78","0.0581","11952.05","2165.65","0.4561","0.5401","0.214","0.1535","0.0465","0.0458"
"Bradford Ex Vill SD, Miami","45229.0","25.0","21.11","527.7","471.4","0.0042","0.0","0.0","0.0","0.0051","0.9863","0.0043","0.4502","0.0","0.1436","45960.54","0.3095","0.2143","0.4762","7.0","69113.62","70.88","104871.75","0.9254","0.0472","0.0274","0.0746","104.87","2342.06","319.5","96572.19","113.0","32804.0","44905.0","30.52","21.99","24.26","5.5","2033.71","1.6831","2257.23","2438.99","6319.16","690.08","537.29","12242.66","9433.02","0.5794","4355.75","0.2675","1512.54","0.0929","980.74","0.0602","16282.05","7991.43","3.3183","0.5193","0.1877","0.259","0.0136","0.0204"
"Brecksville-Broadview Height, Cuyahoga","43646.0","29.0","131.87","3824.26","3792.9","0.0604","0.0008","0.0241","0.0008","0.028","0.844","0.0419","0.1293","0.0302","0.0997","75200.21","0.2018","0.2851","0.5132","30.4","96613.49","124.67","267699.96","0.7969","0.1754","0.0277","0.2031","267.7","10427.39","1165.36","276518.47","588.0","49285.0","103537.0","74.44","36.63","43.89","4.69","0.0","0.643","1382.03","2119.39","7637.06","769.86","419.85","12328.17","2887.58","0.2178","8884.12","0.67","1007.84","0.076","479.48","0.0362","13259.02","1219.57","0.12","0.6487","0.2263","0.0905","0.0179","0.0166"
"Bridgeport Ex Vill SD, Belmont","45237.0","16.0","47.77","764.34","778.88","0.0","0.0","0.0459","0.0","0.0144","0.8653","0.0744","0.608","0.0","0.1429","43593.82","0.4426","0.1803","0.377","13.0","44054.85","55.53","114874.51","0.6365","0.1985","0.165","0.3635","114.87","3165.43","406.86","95529.57","108.0","26614.0","42609.0","40.85","23.36","29.96","4.35","0.0","0.5667","1494.4","2017.48","5591.37","558.85","449.08","10111.15","7521.1","0.5483","2518.33","0.1836","2392.55","0.1744","1284.85","0.0937","13716.84","7211.98","2.4521","0.4868","0.1638","0.2899","0.0495","0.0099"
"Bright Local SD, Highland","47613.0","120.0","6.05","726.19","671.25","0.0","0.0015","0.0113","0.0055","0.0093","0.9579","0.0145","0.6095","0.0","0.1662","51443.01","0.1636","0.1455","0.6909","3.1","48875.95","226.87","142677.22","0.8949","0.0116","0.0936","0.1051","142.68","3268.97","359.61","117552.56","199.0","28860.0","43693.0","31.1","22.0","26.99","4.4","0.0","1.3207","1324.65","2785.51","7029.57","521.41","247.97","11909.17","9330.66","0.6073","2780.28","0.181","2179.81","0.1419","1072.32","0.0698","15363.09","7842.42","3.8161","0.4539","0.2117","0.2614","0.0604","0.0126"
"Bristol Local SD, Trumbull","50112.0","54.0","12.48","674.04","552.59","0.0","0.0","0.0","0.0","0.0064","0.9818","0.0117","0.4271","0.0452","0.1211","50382.84","0.1765","0.2549","0.5686","4.1","71298.5","156.65","140803.72","0.9393","0.0235","0.0372","0.0607","140.8","4377.6","625.16","129047.48","264.0","28753.0","44622.0","48.55","30.33","33.71","5.2","0.0","1.2994","1658.9","2286.39","6670.81","160.09","236.0","11012.16","8212.15","0.5619","4296.04","0.2939","955.93","0.0654","1151.11","0.0788","14615.22","4801.55","1.7248","0.481","0.2192","0.2513","0.0359","0.0126"
"Brookfield Local SD, Trumbull","50120.0","25.0","42.24","1056.1","997.84","0.001","0.0","0.0186","0.001","0.0133","0.9095","0.0565","0.5217","0.0003","0.1489","49973.43","0.2911","0.1772","0.5316","9.3","54351.07","111.4","120630.01","0.7345","0.1471","0.1185","0.2655","120.63","3946.04","592.54","115256.76","188.0","29420.0","44516.0","51.35","29.6","33.24","6.0","0.0","0.7299","1455.56","1989.83","5344.56","615.76","135.66","9541.35","6429.84","0.5421","3378.18","0.2848","1006.01","0.0848","1045.9","0.0882","11859.93","4807.68","1.5486","0.5151","0.2065","0.2274","0.0382","0.0128"
"Brooklyn City SD, Cuyahoga","43653.0","4.0","335.6","1342.4","1232.58","0.0455","0.0","0.0728","0.0","0.2114","0.5928","0.0776","0.5383","0.071","0.165","67155.21","0.1163","0.2442","0.6395","12.6","87306.27","101.08","221485.92","0.4048","0.4921","0.1031","0.5952","221.49","10709.21","875.03","223250.98","546.0","31602.0","41758.0","56.2","48.79","46.35","4.6","0.0","1.1093","2839.5","1525.12","7505.79","797.73","221.48","12889.57","3011.83","0.1977","10082.22","0.6617","756.49","0.0497","1385.17","0.0909","15235.71","298.07","0.0856","0.5615","0.207","0.1967","0.0163","0.0186"
"Brookville Local SD, Montgomery","48678.0","37.0","40.21","1487.84","1411.73","0.0128","0.0","0.0052","0.0","0.0083","0.9563","0.0175","0.2601","0.0024","0.1165","57149.15","0.2791","0.1395","0.5814","8.0","86744.75","178.81","131096.33","0.8142","0.1564","0.0293","0.1858","131.1","5044.08","671.12","134244.22","300.0","34434.0","53920.0","68.02","36.88","41.24","6.7","0.0","1.0219","1171.61","1847.74","5294.16","669.5","439.23","9422.22","4989.17","0.4514","4411.55","0.3991","1043.99","0.0944","608.81","0.0551","11053.52","3929.97","1.1379","0.5947","0.2286","0.1101","0.0388","0.0278"
"Brown Local SD, Carroll","46177.0","33.0","22.67","747.97","632.99","0.0","0.0","0.0249","0.0","0.0115","0.9267","0.0369","0.5405","0.0006","0.1553","41847.05","0.3864","0.2273","0.3864","13.2","27438.0","53.77","178310.71","0.8608","0.0794","0.0597","0.1392","178.31","5884.47","796.83","174120.5","455.0","34050.0","55258.0","44.6","32.1","34.05","3.8","0.0","1.181","1677.56","2078.69","5586.87","441.49","606.73","10391.25","5892.0","0.4203","5625.08","0.4012","1327.81","0.0947","1174.17","0.0838","14019.06","3690.34","1.0278","0.4317","0.2174","0.2911","0.0267","0.0331"
"Brunswick City SD, Medina","43661.0","26.0","284.13","7387.36","7026.13","0.0126","0.0003","0.0149","0.0009","0.0326","0.9057","0.0329","0.2194","0.0093","0.1072","60839.23","0.1932","0.2298","0.577","36.5","93008.66","193.46","148798.2","0.8178","0.1657","0.0165","0.1822","148.8","5975.02","744.78","145807.66","357.0","40182.0","59530.0","69.32","39.78","39.11","3.65","0.0","0.9118","1170.8","1909.84","5580.32","1057.19","376.19","10094.35","4745.89","0.4417","5099.33","0.4746","522.08","0.0486","378.22","0.0352","10745.51","3746.3","0.846","0.6045","0.2576","0.0969","0.0279","0.0131"
"Bryan City SD, Williams","43679.0","59.0","33.65","1985.41","1973.35","0.0124","0.0005","0.0072","0.001","0.069","0.8907","0.0192","0.3969","0.0056","0.1569","52982.78","0.1859","0.1923","0.6218","15.1","70960.58","126.61","132130.31","0.7491","0.2313","0.0196","0.2509","132.13","4193.08","545.08","131655.08","280.0","30327.0","50126.0","53.4","29.85","35.99","0.0","1540.38","1.3942","1391.71","1571.03","6752.5","600.0","314.74","10629.96","4753.41","0.4112","4887.81","0.4228","1212.99","0.1049","706.95","0.0611","11561.16","3661.77","1.0788","0.5928","0.2395","0.1432","0.0246","0.0"
"Buckeye Central Local SD, Crawford","46508.0","133.0","5.99","797.29","626.68","0.0032","0.0","0.007","0.0","0.0294","0.9352","0.0252","0.4125","0.0032","0.177","52984.94","0.1607","0.1964","0.6429","8.3","69914.49","90.34","169834.61","0.9027","0.0472","0.0501","0.0973","169.83","4107.71","520.78","133692.45","294.0","31154.0","48152.0","48.7","22.7","26.57","4.2","2042.82","1.9459","2299.08","2179.29","7734.63","443.36","160.64","12816.97","8624.45","0.4973","6775.46","0.3907","1108.31","0.0639","835.1","0.0482","17343.32","5333.02","1.9096","0.4871","0.2274","0.2181","0.0445","0.0229"
"Buckeye Local SD, Ashtabula","45856.0","70.0","22.83","1598.13","1711.08","0.0048","0.0012","0.0129","0.0006","0.0495","0.8773","0.0538","0.5295","0.0007","0.1367","60074.95","0.1058","0.1635","0.7308","9.3","78457.58","167.68","141635.09","0.6965","0.2147","0.0888","0.3035","141.64","4305.27","425.03","127018.97","250.0","31659.0","46935.0","47.22","25.33","39.89","4.3","0.0","0.7513","1148.84","1910.29","5709.37","643.8","244.32","9656.6","5828.45","0.5157","3319.57","0.2937","1479.1","0.1309","674.73","0.0597","11301.84","4627.9","1.545","0.5568","0.2228","0.1739","0.0331","0.0134"
"Buckeye Local SD, Jefferson","47787.0","128.0","14.98","1917.0","1762.1","0.0023","0.0","0.0095","0.0009","0.0033","0.964","0.02","0.609","0.0003","0.1711","38364.63","0.2979","0.234","0.4681","12.2","74816.2","154.11","205934.49","0.3993","0.1092","0.4915","0.6007","205.93","5331.78","287.67","177240.92","464.0","30870.0","47238.0","29.56","22.0","23.56","4.5","0.0","0.5902","1505.06","2531.79","6464.73","297.79","118.81","10918.16","5984.27","0.4429","4990.65","0.3694","1529.34","0.1132","1007.54","0.0746","13511.8","4023.85","1.3447","0.4932","0.24","0.208","0.0395","0.0193"
"Buckeye Local SD, Medina","48470.0","71.0","31.09","2207.26","2212.35","0.0054","0.0","0.0078","0.0009","0.0206","0.9331","0.0322","0.2048","0.0026","0.1147","62424.88","0.2815","0.1704","0.5481","14.0","80091.79","149.54","213039.52","0.8067","0.1546","0.0387","0.1933","213.04","6850.33","796.46","212379.28","531.0","43545.0","67455.0","65.95","30.11","34.39","3.3","0.0","0.7551","1201.46","1762.47","5710.3","510.48","559.45","9744.16","4496.13","0.4032","5596.98","0.502","671.06","0.0602","385.78","0.0346","11149.94","2546.75","0.465","0.5814","0.2269","0.1383","0.0312","0.0221"
"Buckeye Valley Local SD, Delaware","46755.0","206.0","10.86","2237.67","2100.33","0.0129","0.0","0.0053","0.0019","0.0249","0.9233","0.0318","0.206","0.0026","0.1078","54316.02","0.3261","0.2536","0.4203","27.3","58955.55","78.9","270555.15","0.9448","0.0228","0.0324","0.0552","270.56","5915.23","832.54","257668.29","578.0","47730.0","80478.0","30.5","21.5","24.64","3.0","2708.56","1.006","1537.69","2307.99","6436.07","551.77","151.72","10985.26","3021.98","0.2401","8102.23","0.6437","978.12","0.0777","485.16","0.0385","12587.5","1787.71","0.256","0.5291","0.2057","0.2126","0.0372","0.0154"
