"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"Southeast Local SD, Portage","49221.0","99.0","19.06","1887.34","1791.12","0.0002","0.0058","0.0006","0.0047","0.9841","0.0046","0.4613","0.0","0.1718","47516.04","0.1799","0.2086","0.6115","17.82","11.28","68849.65","163.57","111889.82","0.8998","0.0596","0.0406","0.1002","111.89","3752.1","499.31","117838.58","274.0","33735.0","46103.0","40.98","33.27","32.41","6.1","0.0","1.0606","1160.0","1961.91","5576.8","430.96","155.32","9285.0","6269.6","0.5384","3312.15","0.2844","614.4","0.0528","1448.77","0.1244","11644.93","4653.35","1.3674","0.5151","0.2237","0.2088","0.0361","0.0164"
"Southeast Local SD, Wayne","50583.0","118.0","13.3","1569.62","1563.6","0.0026","0.0072","0.0019","0.0241","0.9566","0.0077","0.4502","0.1157","0.1527","53071.43","0.3333","0.0833","0.5833","18.21","10.65","59721.73","143.57","175552.94","0.85","0.117","0.033","0.15","175.55","5989.23","649.38","172056.48","471.0","28611.0","41042.0","53.52","32.88","37.62","4.7","0.0","1.4563","1433.11","1888.29","6046.7","442.7","228.17","10039.0","3722.01","0.3229","5073.9","0.4402","1137.1","0.0987","1592.04","0.1381","11525.05","2723.17","0.639","0.5199","0.2253","0.1619","0.038","0.0549"
"Southeastern Local SD, Clark","46276.0","79.0","9.18","725.52","727.34","0.0102","0.0066","0.0","0.0084","0.9471","0.0277","0.3164","0.0","0.1659","55445.4","0.2188","0.2031","0.5781","18.9","3.26","74801.9","215.88","136843.84","0.8452","0.1154","0.0394","0.1548","136.84","3795.47","453.46","132576.0","342.0","35287.0","48421.0","41.39","27.04","28.15","5.2","1305.44","1.4486","1215.6","1658.44","6935.53","622.75","262.67","10695.0","4748.36","0.4361","4403.76","0.4044","938.28","0.0862","798.33","0.0733","10888.73","4312.3","1.264","0.5819","0.1942","0.1765","0.0295","0.0179"
"Southeastern Local SD, Ross","49528.0","136.0","8.81","1198.78","1247.07","0.0024","0.0088","0.0","0.008","0.9451","0.0357","0.5074","0.0","0.1299","50384.46","0.2958","0.2113","0.493","19.68","6.0","71969.83","190.03","72490.06","0.8416","0.0684","0.09","0.1584","72.49","1726.62","252.04","72298.5","44.0","30957.0","41213.0","32.5","22.68","26.4","4.5","14.33","0.6692","916.37","1932.75","4455.62","424.21","95.06","7824.0","6324.9","0.6533","1369.06","0.1414","1129.11","0.1166","857.99","0.0886","9681.06","6447.62","2.9143","0.5315","0.2184","0.1943","0.0486","0.0073"
"Southern Local SD, Columbiana","46441.0","100.0","9.62","962.2","851.45","0.0","0.0099","0.0002","0.0059","0.9675","0.0165","0.5341","0.0","0.1775","37828.27","0.2771","0.1205","0.6024","16.21","8.4","56498.64","111.12","87179.67","0.8688","0.0536","0.0777","0.1312","87.18","2069.88","307.71","83229.07","83.0","31867.0","49998.0","38.64","22.03","29.85","4.4","0.0","0.5895","1454.57","2562.25","5932.32","857.55","608.27","11415.0","7482.29","0.5769","1858.12","0.1433","1067.6","0.0823","2561.1","0.1975","12969.12","5689.52","1.6883","0.4428","0.2396","0.2388","0.0504","0.0283"
"Southern Local SD, Meigs","48538.0","80.0","9.44","755.56","721.62","0.0","0.0028","0.0","0.0183","0.9674","0.0115","0.6455","0.0","0.142","36656.59","0.6038","0.0566","0.3396","18.65","7.11","55109.54","106.27","114340.44","0.5883","0.2597","0.152","0.4117","114.34","2506.65","319.72","98234.56","153.0","28578.0","41217.0","27.0","20.02","23.27","3.5","0.0","0.6185","1776.85","2356.33","5465.19","601.1","247.59","10447.0","6384.51","0.5506","2440.6","0.2105","1096.18","0.0945","1674.39","0.1444","11595.67","5312.37","2.4353","0.4632","0.2817","0.1848","0.0509","0.0194"
"Southern Local SD, Perry","49064.0","87.0","8.46","735.83","663.47","0.0","0.002","0.0015","0.0006","0.9872","0.0087","0.6476","0.0","0.2584","43714.8","0.2462","0.2769","0.4769","14.23","10.5","50620.0","67.55","66045.88","0.8464","0.0773","0.0763","0.1536","66.05","1544.89","266.51","54383.07","13.0","28157.0","35547.0","32.8","22.08","28.43","3.0","0.0","0.6601","1953.45","2431.12","7421.6","590.34","261.4","12658.0","10365.72","0.7093","1401.83","0.0959","638.21","0.0437","2208.69","0.1511","14614.45","7908.45","4.2718","0.4913","0.2505","0.1608","0.0312","0.0662"
"Southington Local SD, Trumbull","50237.0","26.0","22.69","590.06","593.56","0.0","0.0042","0.0","0.0166","0.9627","0.0164","0.4541","0.0","0.1768","38846.25","0.3462","0.1538","0.5","17.27","5.08","60511.38","111.82","108650.9","0.944","0.0289","0.0271","0.056","108.65","2942.81","573.79","109043.28","215.0","31666.0","47791.0","43.75","26.6","27.28","5.6","0.0","0.7732","1223.17","1584.87","4751.36","178.15","73.46","7811.0","5000.32","0.508","2416.96","0.2456","1604.66","0.163","820.84","0.0834","9842.78","4067.78","1.0118","0.491","0.2072","0.2445","0.0418","0.0155"
"Southwest Licking Local SD, Licking","48041.0","65.0","62.2","4042.97","3822.8","0.0076","0.0288","0.0049","0.0173","0.8962","0.0453","0.2992","0.0052","0.1496","55760.38","0.252","0.2283","0.5197","20.11","21.16","84891.0","187.3","138894.79","0.8498","0.1204","0.0298","0.1502","138.89","4308.36","592.95","156635.61","442.0","43345.0","58036.0","34.8","30.99","30.26","4.9","1121.42","1.0239","1111.06","1637.4","5293.37","478.02","247.16","8767.0","3500.34","0.3667","4931.86","0.5167","567.92","0.0595","544.09","0.057","9544.22","2209.31","0.5035","0.5735","0.2302","0.1454","0.0362","0.0146"
"Southwest Local SD, Hamilton","47381.0","68.0","52.53","3571.95","3359.39","0.0046","0.0018","0.0012","0.0234","0.949","0.02","0.3288","0.0021","0.1526","69359.54","0.1159","0.0676","0.8164","19.6","13.7","94523.76","245.86","143720.79","0.7072","0.2494","0.0434","0.2928","143.72","3624.74","354.18","161583.95","456.0","33531.0","48622.0","44.38","23.79","25.93","3.97","884.67","0.9798","1051.45","1650.77","5609.14","476.5","109.15","8897.0","4520.14","0.4448","4216.46","0.4149","677.76","0.0667","748.71","0.0737","10163.07","3647.56","0.9115","0.5826","0.1809","0.1785","0.0381","0.0199"
"Spencerville Local SD, Allen","45807.0","89.0","10.06","894.96","961.0","0.0005","0.0043","0.0051","0.0103","0.9462","0.0336","0.4323","0.0","0.1368","50939.49","0.2","0.2462","0.5538","17.37","10.2","55309.9","85.49","116224.13","0.8867","0.0751","0.0381","0.1133","116.22","2562.65","388.17","105932.61","195.0","32379.0","45857.0","28.87","21.7","22.71","4.5","1130.09","1.2508","1116.47","1882.54","5029.24","523.49","166.22","8718.0","5023.5","0.5066","3094.68","0.3121","1086.81","0.1096","711.68","0.0718","9916.67","4830.75","1.53","0.5592","0.206","0.173","0.0367","0.0251"
"Springboro Community City SD, Warren","50427.0","38.0","155.96","5926.6","5598.25","0.03","0.0155","0.0002","0.0143","0.9137","0.0264","0.0643","0.0048","0.1126","52272.13","0.2169","0.2225","0.5606","20.46","29.6","70488.34","196.88","152136.56","0.8397","0.0801","0.0802","0.1603","152.14","5650.59","710.25","187862.7","507.0","62425.0","91631.0","58.01","35.47","33.8","5.31","0.0","0.4955","891.32","1466.64","4799.03","425.77","240.24","7823.0","2586.39","0.3064","5018.05","0.5944","639.96","0.0758","198.16","0.0235","8442.58","1565.27","0.2177","0.5887","0.2113","0.1337","0.0434","0.0229"
"Springfield City SD, Clark","44818.0","17.0","542.46","9221.84","7245.4","0.007","0.2364","0.0016","0.0439","0.6165","0.0946","0.9967","0.0258","0.1709","53164.57","0.2964","0.1238","0.5797","19.41","58.6","76427.44","154.92","70908.4","0.6772","0.2766","0.0462","0.3228","70.91","2715.98","360.67","71605.75","43.0","22442.0","34544.0","59.99","34.98","42.81","6.6","0.0","1.191","1733.41","1903.84","6188.14","799.59","683.02","11308.0","8035.34","0.5993","2746.06","0.2048","493.55","0.0368","2131.84","0.159","13406.79","4668.89","2.5749","0.5147","0.1995","0.2397","0.0366","0.0095"
"Springfield Local SD, Lucas","48223.0","22.0","195.68","4304.86","4069.31","0.0325","0.1632","0.0012","0.0519","0.6601","0.0911","0.4478","0.0106","0.1486","60794.81","0.1224","0.2152","0.6624","16.83","17.5","93436.74","236.34","148670.95","0.6986","0.2832","0.0182","0.3014","148.67","6166.91","699.25","189548.98","510.0","34947.0","62415.0","72.6","40.67","41.48","5.5","0.0","0.9115","936.9","1703.74","5918.88","326.64","134.84","9021.0","2492.85","0.2653","5799.47","0.6171","547.42","0.0583","557.86","0.0594","9397.6","714.08","0.1101","0.57","0.2131","0.1314","0.0274","0.0581"
"Springfield Local SD, Mahoning","48371.0","35.0","33.83","1184.22","1093.05","0.0046","0.0","0.0","0.0166","0.9674","0.0114","0.3487","0.0009","0.1039","53111.76","0.2625","0.2125","0.525","18.18","8.25","75866.33","141.21","140031.77","0.8008","0.1529","0.0463","0.1992","140.03","3160.65","419.92","131022.3","334.0","32276.0","49961.0","32.6","22.1","22.0","4.0","1634.3","1.1406","1610.56","1787.63","5478.24","325.39","263.15","9465.0","4621.1","0.4459","4412.15","0.4258","505.16","0.0487","824.43","0.0796","10362.83","2931.92","0.6412","0.5788","0.1941","0.1675","0.0396","0.02"
"Springfield Local SD, Summit","50062.0","20.0","125.28","2505.61","2333.75","0.0115","0.0263","0.0","0.0136","0.9257","0.0229","0.5723","0.0069","0.191","60935.22","0.1132","0.1321","0.7547","16.79","16.0","74990.94","151.93","143097.19","0.7466","0.235","0.0183","0.2534","143.1","5117.09","742.65","160878.07","455.0","30373.0","42155.0","51.46","34.42","38.78","5.5","0.0","1.104","1154.82","1813.72","6168.64","569.15","390.68","10097.0","4889.4","0.4051","4411.93","0.3656","1728.0","0.1432","1039.46","0.0861","12068.79","3028.11","0.8761","0.5292","0.2062","0.207","0.018","0.0396"
"St Bernard-Elmwood Place Cit, Hamilton","44719.0","2.0","451.7","903.4","1053.85","0.0057","0.3069","0.0019","0.0318","0.583","0.0708","0.7713","0.0123","0.1904","63441.38","0.2933","0.12","0.5867","14.66","11.0","83343.27","79.34","102895.2","0.5305","0.3721","0.0974","0.4695","102.9","5983.91","511.49","107967.47","212.0","26696.0","37824.0","60.98","57.23","58.74","3.43","0.0","1.3781","1509.62","2005.88","6832.81","865.77","327.97","11542.0","5957.18","0.441","4351.93","0.3222","1835.96","0.1359","1363.56","0.1009","13508.62","4155.33","1.5367","0.5782","0.2049","0.1792","0.0225","0.0151"
"St Clairsville-Richland City, Belmont","45997.0","78.0","21.19","1652.9","1689.55","0.0055","0.0116","0.0012","0.0107","0.919","0.0521","0.3056","0.0012","0.1186","47089.29","0.2276","0.2114","0.561","18.81","8.3","71644.6","193.14","224913.73","0.6689","0.2997","0.0314","0.3311","224.91","4938.37","536.22","214712.01","544.0","34745.0","61483.0","33.7","21.45","21.86","5.0","0.0","0.4821","882.8","1234.59","4846.42","453.51","121.67","7539.0","2694.62","0.3016","4071.6","0.4557","1647.12","0.1844","521.35","0.0584","8934.69","2015.94","0.2717","0.521","0.2216","0.1987","0.0359","0.0228"
"St Henry Consolidated Local, Mercer","48587.0","50.0","19.85","992.65","932.7","0.0086","0.0","0.0","0.0176","0.9716","0.0023","0.0965","0.0075","0.1231","51511.47","0.1687","0.1084","0.7229","18.29","5.0","82721.0","198.53","107594.44","0.8853","0.0865","0.0282","0.1147","107.59","2964.44","437.55","97023.22","149.0","37638.0","56411.0","31.29","27.3","28.87","5.0","0.0","0.7759","1136.54","1233.24","6698.59","212.44","151.2","9432.0","6159.8","0.6079","2833.98","0.2797","815.95","0.0805","322.66","0.0318","10132.4","4969.84","1.2629","0.5993","0.2743","0.0478","0.0303","0.0483"
"St Marys City SD, Auglaize","44727.0","81.0","26.73","2165.03","2110.95","0.0059","0.0019","0.0014","0.0167","0.9418","0.0322","0.4557","0.0024","0.1679","56947.91","0.2182","0.1333","0.6485","17.18","15.83","68609.16","136.77","115560.94","0.8074","0.1657","0.027","0.1926","115.56","3320.78","519.15","111819.59","233.0","31176.0","43183.0","48.65","26.8","34.91","4.1","0.0","0.8238","1062.11","1666.14","5915.77","562.95","137.03","9344.0","5356.71","0.5438","3078.53","0.3125","733.89","0.0745","681.15","0.0691","9850.27","3877.92","1.257","0.5719","0.2124","0.1727","0.0252","0.0178"
"Steubenville City SD, Jefferson","44826.0","7.0","283.33","1983.31","2254.8","0.0022","0.2652","0.0004","0.0157","0.5902","0.1263","0.6639","0.0009","0.1625","44189.16","0.2176","0.1658","0.6166","19.54","16.8","76048.81","116.27","81359.35","0.643","0.2898","0.0672","0.357","81.36","1940.55","304.4","68030.89","38.0","22789.0","37443.0","30.14","23.37","23.46","4.95","0.0","0.6405","1131.67","1842.9","5994.02","323.15","176.26","9468.0","5578.51","0.5333","1481.46","0.1416","1748.48","0.1672","1651.64","0.1579","10460.08","6614.35","2.8187","0.4808","0.2442","0.2038","0.0602","0.011"
"Stow-Munroe Falls City SD, Summit","44834.0","21.0","250.12","5252.62","5079.66","0.0215","0.0347","0.0004","0.015","0.8994","0.029","0.2237","0.0104","0.1156","62515.4","0.1027","0.2115","0.6858","21.48","26.0","71148.31","202.02","172492.61","0.7814","0.2064","0.0122","0.2186","172.49","7284.64","869.73","188284.2","508.0","39792.0","61262.0","52.89","41.87","42.97","4.74","0.0","0.8374","1159.88","1864.95","5817.07","560.6","222.5","9625.0","3675.37","0.3152","6668.12","0.5718","853.15","0.0732","465.16","0.0399","11661.81","2514.96","0.3659","0.6099","0.2159","0.1197","0.0363","0.0183"
"Strasburg-Franklin Local SD, Tuscarawas","50294.0","22.0","29.9","657.89","644.32","0.0031","0.0019","0.0004","0.0258","0.9373","0.0315","0.3596","0.0124","0.1032","45762.19","0.2128","0.2979","0.4894","20.1","4.7","68908.26","134.18","135819.24","0.8273","0.1325","0.0402","0.1727","135.82","4230.34","574.94","135616.41","360.0","32118.0","47521.0","58.8","28.98","36.32","4.6","0.0","0.8849","1454.26","1498.04","4906.52","294.43","267.76","8421.0","4381.33","0.4546","3654.64","0.3792","805.93","0.0836","796.23","0.0826","9638.12","3398.54","0.8046","0.5101","0.2081","0.2258","0.0391","0.0169"
"Streetsboro City SD, Portage","49239.0","24.0","92.62","2222.92","2084.96","0.0171","0.1323","0.0005","0.017","0.8","0.0331","0.3722","0.0129","0.1396","55258.09","0.2449","0.2177","0.5374","17.06","17.3","78208.84","126.03","186117.51","0.595","0.3869","0.0181","0.405","186.12","6904.64","588.57","204165.75","527.0","36786.0","49542.0","63.15","35.47","38.38","4.6","0.0","0.8231","1446.14","1737.68","5680.89","606.5","416.8","9888.0","3451.53","0.3123","6326.96","0.5725","763.63","0.0691","509.38","0.0461","11051.51","1351.03","0.273","0.607","0.2244","0.1174","0.0298","0.0214"
"Strongsville City SD, Cuyahoga","44842.0","25.0","249.07","6226.81","5963.02","0.0528","0.0201","0.0005","0.0262","0.8645","0.0359","0.1821","0.0299","0.0926","63338.02","0.4471","0.1812","0.3718","20.77","35.0","81590.66","175.86","225511.06","0.7383","0.2413","0.0205","0.2617","225.51","9365.8","1039.19","238532.87","576.0","43059.0","69978.0","80.18","40.41","41.67","5.6","0.0","0.846","1945.35","2478.1","6473.82","389.22","310.5","11597.0","3253.06","0.2604","8023.67","0.6424","821.11","0.0657","393.17","0.0315","12491.01","1348.23","0.1606","0.5787","0.2923","0.0798","0.0258","0.0233"
"Struthers City SD, Mahoning","44859.0","6.0","314.78","1888.7","1973.28","0.0035","0.0458","0.0041","0.057","0.8348","0.0549","0.6009","0.0005","0.1404","55348.17","0.2653","0.1633","0.5714","17.44","12.33","58592.76","148.88","72806.35","0.8519","0.103","0.0451","0.1481","72.81","2876.42","528.19","73330.57","48.0","24927.0","35966.0","62.7","37.38","46.97","3.9","0.0","1.1473","1076.0","1433.92","5529.82","371.92","94.35","8506.0","6013.72","0.598","2132.51","0.2121","859.88","0.0855","1050.35","0.1044","10056.46","5221.14","2.297","0.5464","0.2074","0.2007","0.0268","0.0187"
"Stryker Local SD, Williams","50658.0","51.0","9.28","473.17","421.56","0.0048","0.0097","0.0024","0.0482","0.9037","0.0313","0.4702","0.0","0.11","45298.37","0.2424","0.2121","0.5455","11.3","5.2","60245.04","86.71","119645.33","0.8071","0.1069","0.086","0.1929","119.65","3614.25","516.11","120636.83","288.0","30677.0","39665.0","44.0","28.27","33.72","4.0","1413.25","1.3322","1557.06","1695.73","5347.56","244.65","476.94","9322.0","5340.93","0.4379","4732.24","0.388","976.25","0.08","1146.47","0.094","12195.89","3491.99","1.203","0.5155","0.1916","0.2477","0.0284","0.0169"
"Sugarcreek Local SD, Greene","47274.0","29.0","91.99","2667.82","2597.94","0.0214","0.0337","0.0025","0.0356","0.8712","0.0355","0.1648","0.0139","0.0863","63281.32","0.1152","0.1273","0.7576","19.93","9.83","99863.89","266.22","189064.1","0.8563","0.1107","0.033","0.1437","189.06","6812.03","884.7","216148.73","546.0","50851.0","91719.0","62.0","34.98","36.43","4.5","0.0","0.631","1044.09","2032.21","5406.19","571.57","366.95","9421.0","2962.23","0.2945","5712.51","0.5679","902.33","0.0897","481.66","0.0479","10058.73","2014.94","0.2282","0.5904","0.2007","0.1599","0.0372","0.0119"
"Swanton Local SD, Fulton","47092.0","43.0","32.05","1378.34","1311.25","0.0038","0.009","0.0046","0.043","0.9123","0.0272","0.4168","0.0008","0.1329","51976.47","0.1786","0.3214","0.5","17.41","10.96","66826.04","118.29","129940.85","0.8229","0.1436","0.0336","0.1771","129.94","4037.38","616.79","159890.53","449.0","34462.0","48411.0","57.93","29.85","31.78","2.8","1099.67","1.1671","1480.12","1916.29","5088.46","552.73","366.39","9404.0","3745.06","0.38","4556.61","0.4623","919.5","0.0933","634.38","0.0644","9855.55","2173.82","0.5226","0.5331","0.1954","0.2219","0.031","0.0186"
"Switzerland Of Ohio Local SD, Monroe","48652.0","546.0","4.72","2579.07","2476.0","0.0004","0.0041","0.0004","0.0039","0.9823","0.0089","0.5993","0.0004","0.1971","45090.63","0.2941","0.3971","0.3088","14.33","21.0","58134.24","122.81","150564.69","0.5771","0.0972","0.3257","0.4229","150.56","3978.66","397.18","122494.11","300.0","31259.0","51551.0","35.4","20.0","34.49","3.9","0.0","0.4712","1347.14","2782.97","6049.38","318.53","96.99","10595.0","6219.26","0.5245","4150.22","0.35","345.31","0.0291","1141.82","0.0963","11856.62","4513.75","1.0732","0.4976","0.2827","0.1461","0.0506","0.023"
"Sycamore Community City SD, Hamilton","44867.0","17.0","313.63","5331.72","5149.04","0.1311","0.0797","0.0002","0.0428","0.6877","0.0584","0.1654","0.0509","0.0996","71073.25","0.1604","0.1684","0.6711","17.29","28.7","96536.81","184.41","303588.37","0.6122","0.3648","0.023","0.3878","303.59","11420.62","858.0","347492.81","600.0","51335.0","129757.0","66.65","32.95","43.63","4.63","0.0","0.4044","1566.2","2588.56","8616.35","971.61","533.3","14276.0","3179.47","0.2145","10195.78","0.688","958.74","0.0647","486.1","0.0328","14820.09","384.45","0.0223","0.6326","0.2252","0.0752","0.0347","0.0323"
"Sylvania City SD, Lucas","44875.0","29.0","262.66","7617.02","7351.9","0.0412","0.0531","0.0008","0.0215","0.8523","0.0312","0.2012","0.0136","0.1302","63881.84","0.2882","0.1393","0.5725","18.07","51.83","89840.44","146.96","172267.74","0.7625","0.2226","0.015","0.2375","172.27","7920.11","1057.73","208190.06","530.0","42495.0","83235.0","77.1","44.89","47.59","5.0","0.0","0.7219","1506.39","2017.15","6479.74","606.07","265.66","10875.0","3006.97","0.2667","7323.63","0.6495","434.07","0.0385","510.83","0.0453","11275.5","1384.26","0.1407","0.5815","0.2618","0.1014","0.0378","0.0174"
"Symmes Valley Local SD, Lawrence","47969.0","150.0","5.0","750.18","793.52","0.0","0.0004","0.0","0.0","0.9961","0.0035","0.6513","0.0","0.1599","48535.1","0.193","0.2105","0.5965","15.56","6.0","61555.17","121.25","73043.27","0.8521","0.0218","0.126","0.1479","73.04","1643.53","234.55","63357.91","24.0","29670.0","40758.0","24.9","22.12","23.48","4.9","0.0","0.716","1291.71","2773.26","5746.66","349.6","87.76","10249.0","7532.44","0.6723","1335.99","0.1192","1288.29","0.115","1047.72","0.0935","11204.44","7979.07","3.9197","0.5349","0.2496","0.1384","0.0533","0.0239"
"Talawanda City SD, Butler","46151.0","138.0","22.03","3040.01","3039.43","0.0229","0.0166","0.0009","0.019","0.909","0.0317","0.3451","0.0273","0.095","57317.15","0.245","0.15","0.605","17.55","21.0","77775.48","137.86","222537.89","0.7505","0.1811","0.0684","0.2495","222.54","5668.29","678.62","235102.46","572.0","34073.0","53380.0","50.23","22.96","26.51","2.19","1713.93","1.2448","1267.02","2232.72","6422.11","525.92","341.23","10789.0","3165.1","0.2799","6706.93","0.5932","794.9","0.0703","639.33","0.0565","11306.26","2765.81","0.5135","0.5609","0.1934","0.191","0.0273","0.0274"
"Tallmadge City SD, Summit","44883.0","14.0","186.4","2609.64","2450.32","0.0115","0.0296","0.0017","0.0283","0.8806","0.0483","0.23","0.0155","0.1211","57676.16","0.4188","0.2063","0.375","16.83","15.0","69465.4","173.95","145521.71","0.8194","0.1679","0.0127","0.1806","145.52","6113.29","923.29","160605.39","453.0","35896.0","54046.0","66.26","39.96","50.18","5.4","0.0","0.977","1362.36","1868.7","5917.68","466.01","127.26","9742.0","4207.67","0.3867","5604.09","0.5151","622.99","0.0573","445.84","0.041","10880.6","2134.11","0.4316","0.5692","0.2019","0.1924","0.02","0.0165"
"Teays Valley Local SD, Pickaway","49098.0","152.0","24.71","3755.58","3631.03","0.0052","0.0076","0.0014","0.0121","0.9528","0.0209","0.3331","0.0017","0.1218","59799.26","0.1688","0.2035","0.6277","18.89","20.0","83351.45","183.77","120843.35","0.7732","0.1136","0.1132","0.2268","120.84","2704.87","371.38","117746.78","273.0","38397.0","51019.0","24.7","22.01","22.6","1.4","863.4","0.957","1274.1","1880.66","5243.58","360.76","94.91","8854.0","4744.85","0.5179","3266.56","0.3566","665.56","0.0726","484.35","0.0529","9161.32","4105.43","1.3149","0.5976","0.2186","0.1113","0.0326","0.04"
"Tecumseh Local SD, Clark","46243.0","43.0","73.41","3156.56","3101.95","0.005","0.01","0.0024","0.1036","0.849","0.03","0.5219","0.0306","0.151","57489.42","0.1173","0.1341","0.7486","20.01","21.0","64524.38","146.76","87510.19","0.8563","0.1174","0.0263","0.1437","87.51","2909.64","485.62","88983.21","103.0","29613.0","43759.0","39.63","32.92","34.21","5.8","0.0","0.9529","1132.58","1925.68","5261.77","607.68","279.29","9207.0","5422.13","0.5617","2423.35","0.2511","787.51","0.0816","1019.48","0.1056","9652.49","4943.02","1.7374","0.5824","0.2278","0.1438","0.0357","0.0102"
"Three Rivers Local SD, Hamilton","47399.0","24.0","80.88","1941.11","1856.78","0.0073","0.0087","0.0005","0.0176","0.9357","0.0301","0.3984","0.0027","0.1724","62296.21","0.1833","0.175","0.6417","19.91","9.7","95923.11","193.44","193648.22","0.7255","0.0926","0.1819","0.2745","193.65","6870.33","706.64","221327.62","553.0","43247.0","69750.0","47.6","32.0","38.93","3.4","0.0","0.5361","1321.34","1927.28","6169.94","670.35","376.07","10465.0","3350.55","0.2775","6181.96","0.5121","1900.77","0.1574","639.46","0.053","12072.73","1688.28","0.1889","0.5747","0.211","0.1719","0.0226","0.0199"
"Tiffin City SD, Seneca","44891.0","41.0","73.05","2995.05","2719.63","0.0057","0.0146","0.0","0.0402","0.905","0.0345","0.5108","0.0026","0.1698","49953.9","0.1457","0.1987","0.6556","19.82","18.0","68510.22","162.05","113961.61","0.7588","0.1762","0.065","0.2412","113.96","4128.45","445.24","119669.45","285.0","27642.0","39939.0","54.91","31.99","47.6","4.0","0.0","0.8602","914.23","1373.41","4226.88","446.95","269.55","7231.0","4207.02","0.4516","3539.03","0.3799","831.42","0.0892","738.58","0.0793","9316.05","2517.04","0.7992","0.5085","0.1844","0.2526","0.0362","0.0184"
"Tipp City Ex Vill SD, Miami","45617.0","28.0","90.69","2539.29","2441.86","0.0095","0.0089","0.0008","0.0175","0.9472","0.0161","0.142","0.0143","0.1385","54658.03","0.1497","0.2395","0.6108","18.06","13.5","85643.78","185.4","152686.66","0.7827","0.1959","0.0214","0.2173","152.69","4995.4","655.17","160551.61","452.0","38945.0","61737.0","45.51","32.46","32.36","5.4","0.0","0.7917","1078.1","1456.43","5582.1","438.75","119.63","8675.0","3797.73","0.4063","4252.19","0.4549","921.75","0.0986","375.04","0.0401","9346.72","2433.38","0.4672","0.614","0.2114","0.131","0.0253","0.0182"
"Toledo City SD, Lucas","44909.0","70.0","469.19","32843.28","21333.19","0.0059","0.4082","0.0007","0.106","0.401","0.0782","0.773","0.0167","0.207","52889.93","0.0598","0.1048","0.8354","18.04","138.5","69984.89","237.13","70353.51","0.6381","0.309","0.0529","0.3619","70.35","3021.06","357.31","80979.48","73.0","24267.0","35489.0","61.7","36.53","52.98","3.6","0.0","0.9981","1607.07","2352.67","6911.24","678.11","737.91","12287.0","10083.31","0.601","3958.78","0.2359","543.54","0.0324","2192.45","0.1307","16778.07","3654.2","1.8036","0.4321","0.1914","0.3315","0.0341","0.0109"
